#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.79486  0.75742 -0.03083 -1.03627  0.000000  0.000000  0.000000     1.000
   1.81172  0.77419 -0.02905 -1.03115  0.000000  0.000000  0.000000     1.000
   1.82858  0.79095 -0.02723 -1.02588  0.000000  0.000000  0.000000     1.000
   1.84544  0.80771 -0.02537 -1.02003  0.000000  0.000000  0.000000     1.000
   1.86230  0.82446 -0.02348 -1.01450  0.000000  0.000000  0.000000     1.000
   1.87915  0.84120 -0.02155 -1.00783  0.000000  0.000000  0.000000     1.000
   1.89599  0.85793 -0.01959 -1.00115  0.000000  0.000000  0.000000     1.000
   1.91281  0.87462 -0.01759 -0.99384  0.000000  0.000000  0.000000     1.000
   1.92958  0.89128 -0.01556 -0.98555  0.000000  0.000000  0.000000     1.000
   1.94627  0.90784 -0.01350 -0.97646  0.000000  0.000000  0.000000     1.000
   1.96279  0.92422 -0.01142 -0.96603  0.000000  0.000000  0.000000     1.000
   1.97896  0.94026 -0.00934 -0.95370  0.000000  0.000000  0.000000     1.000
   1.99450  0.95567 -0.00731 -0.93915  0.000000  0.000000  0.000000     1.000
   2.00895  0.96999 -0.00539 -0.92117  0.000000  0.000000  0.000000     1.000
   2.02185  0.98277 -0.00365 -0.89679  0.000000  0.000000  0.000000     1.000
   2.03290  0.99372 -0.00214 -0.86298  0.000000  0.000000  0.000000     1.000
   2.03924  1.00000 -0.00126 -0.76500  0.000000  0.000000  0.000000     1.000
   2.03924  1.00010  0.00000  1.02793  0.046090  0.005988  0.000000     7.697
   2.04558  1.00644 -0.00000  1.02056  0.045097  0.006406  0.000000     7.040
   2.05301  1.01387 -0.00000  1.01076  0.043654  0.006963  0.000000     6.269
   2.06172  1.02258 -0.00000  0.99866  0.041822  0.007656  0.000000     5.463
   2.07194  1.03279 -0.00000  0.98333  0.039556  0.008537  0.000000     4.633
   2.08391  1.04477 -0.00000  0.96317  0.036833  0.009710  0.000000     3.793
   2.09794  1.05880 -0.00000  0.94310  0.033547  0.010888  0.000000     3.081
   2.11440  1.07526 -0.00000  0.92676  0.029781  0.011840  0.000000     2.515
   2.13369  1.09455 -0.00000  0.91666  0.025795  0.012411  0.000000     2.078
   2.15630  1.11716 -0.00000  0.91451  0.021963  0.012526  0.000000     1.753
   2.18282  1.14367 -0.00000  0.91976  0.018651  0.012268  0.000000     1.520
   2.21390  1.17475 -0.00000  0.92969  0.016050  0.011823  0.000000     1.358
   2.25033  1.21119 -0.00000  0.94109  0.014140  0.011357  0.000000     1.245
   2.29305  1.25391 -0.00000  0.95187  0.012781  0.010950  0.000000     1.167
   2.34313  1.30399 -0.00000  0.96118  0.011826  0.010620  0.000000     1.114
   2.40184  1.36269 -0.00000  0.96893  0.011156  0.010359  0.000000     1.077
   2.47066  1.43152 -0.00000  0.97526  0.010684  0.010155  0.000000     1.052
   2.55135  1.51221 -0.00000  0.98039  0.010349  0.009994  0.000000     1.036
   2.64594  1.60680 -0.00000  0.98454  0.010110  0.009867  0.000000     1.025
   2.75683  1.71769 -0.00000  0.98786  0.009937  0.009767  0.000000     1.017
   2.88683  1.84769 -0.00000  0.99052  0.009812  0.009688  0.000000     1.013
   3.03924  2.00010 -0.00000  0.99286  0.009713  0.009619  0.000000     1.010
